,"from","to","Pharma R&D  Annual Review 2017"
869,"Cancer",604713,
870,"Cancer",604802,
871,"Cancer",801689,
872,"Cancer",604985,
873,"Cancer",604418,
874,"Cancer",600032,
875,"Cancer",600301,
876,"Cancer",606579,
877,"Cancer",611853,
878,"Cancer",600906,
879,"Cancer",610608,
880,"Cancer",603571,
881,"Cancer",602386,
882,"Cancer",802024,
883,"Cancer",605857,
884,"Cancer",606001,
885,"Cancer",604924,
886,"Cancer",800800,
887,"Cancer",602530,
888,"Cancer",602120,
889,"Cancer",605028,
890,"Cancer",608687,
891,"Cancer",608833,
892,"Cancer",604776,
893,"Cancer",609591,
894,"Cancer",600968,
895,"Cancer",607311,
896,"Cancer",802166,
897,"Cancer",805600,
898,"Cancer",604685,
899,"Cancer",610589,
900,"Cancer",607701,
901,"Cancer",611464,
902,"Cancer",804686,
903,"Cancer",800843,
904,"Cancer",608677,
905,"Cancer",603426,
906,"Cancer",606527,
907,"Cancer",603100,
908,"Cancer",801699,
909,"Cancer",605576,
910,"Cancer",606730,
911,"Cancer",604598,
912,"Cancer",604311,
913,"Cancer",600066,
914,"Cancer",602559,
915,"Cancer",605398,
916,"Cancer",802996,
917,"Cancer",610059,
918,"Cancer",601834,
919,"Cancer",609371,
920,"Cancer",804086,
921,"Cancer",609423,
922,"Cancer",612333,
923,"Cancer",803655,
924,"Cancer",609455,
925,"Cancer",611647,
926,"Cancer",604586,
927,"Cancer",600064,
928,"Cancer",608647,
929,"Cancer",800910,
930,"Cancer",611592,
931,"Cancer",604986,
932,"Cancer",610002,
933,"Cancer",604045,
934,"Cancer",607880,
935,"Cancer",609211,
936,"Cancer",800755,
937,"Cancer",607003,
938,"Cancer",606122,
939,"Cancer",601514,
940,"Cancer",611498,
941,"Cancer",803621,
942,"Cancer",604612,
943,"Cancer",604495,
944,"Cancer",607985,
945,"Cancer",604075,
946,"Cancer",610001,
947,"Cancer",611530,
948,"Cancer",611809,
949,"Cancer",805826,
950,"Cancer",804602,
951,"Cancer",608944,
